"SourceFile","ID","CreateDate","Duration","Latitude","Longitude","LatitudeDD","LongitudeDD","sDuration","Year","Month","Day","Hour"
"meta-VgsmTnVJYxrE.json",NA,"2021:01:06 13:39:59","0:01:34","38 deg 53' 29.04"" N","77 deg 2' 11.04"" W",38.8914,-77.0364,94,2021,1,6,13
"meta-VhIx1Jb09Km8.json",NA,"2021:01:06 14:30:14","0:00:37","38 deg 53' 29.76"" N","77 deg 2' 13.56"" W",38.8916,-77.0371,37,2021,1,6,14
"meta-ViIpu8eZLGaK.json",NA,"2021:01:06 19:03:59","25.06 s","38 deg 53' 24.36"" N","77 deg 0' 36.72"" W",38.8901,-77.0102,25.06,2021,1,6,19
"meta-vimMsf0RVPsw.json",NA,"2021:01:06 00:11:14","29.99 s","38 deg 53' 46.32"" N","77 deg 2' 51.36"" W",38.8962,-77.0476,29.99,2021,1,6,0
"meta-VJKKCQ9W822I.json",NA,"2021:01:06 18:05:12","0:00:39","38 deg 53' 24.36"" N","77 deg 0' 38.16"" W",38.8901,-77.0106,39,2021,1,6,18
"meta-VkFHYXJdaOHA.json",NA,"2021:01:06 15:47:01","16.91 s","38 deg 53' 32.28"" N","77 deg 2' 25.08"" W",38.8923,-77.0403,16.91,2021,1,6,15
"meta-vmiDLX97YgI9.json",NA,"2021:01:06 19:54:31","21.96 s","38 deg 53' 23.28"" N","77 deg 0' 30.24"" W",38.8898,-77.0084,21.96,2021,1,6,19
"meta-vpuHVwUv1HHH.json",NA,"2021:01:06 18:44:38","12.61 s","38 deg 53' 23.64"" N","77 deg 0' 37.44"" W",38.8899,-77.0104,12.61,2021,1,6,18
"meta-vrWD0q1NIOPA.json",NA,"2021:01:06 17:01:22","0:04:11","38 deg 53' 27.24"" N","77 deg 2' 9.96"" W",38.8909,-77.0361,251,2021,1,6,17
"meta-vSIv4wwvoemh.json",NA,"2021:01:06 18:42:09","10.23 s","38 deg 53' 30.84"" N","77 deg 1' 47.64"" W",38.8919,-77.0299,10.23,2021,1,6,18
"meta-VtnsP8zniE4U.json",NA,"2021:01:06 18:12:53","10.04 s","38 deg 53' 30.84"" N","77 deg 2' 10.68"" W",38.8919,-77.0363,10.04,2021,1,6,18
"meta-vuPWTIAii8X1.json",NA,"2021:01:06 13:53:33","0:00:58","38 deg 53' 31.92"" N","77 deg 2' 11.76"" W",38.8922,-77.0366,58,2021,1,6,13
"meta-VVtO7erqIcAG.json",NA,"2021:01:06 19:46:57","0:00:32","38 deg 53' 22.20"" N","77 deg 0' 37.80"" W",38.8895,-77.0105,32,2021,1,6,19
"meta-Vvx00yf3SVVM.json",NA,"2021:01:06 18:48:42","13.38 s","38 deg 53' 27.96"" N","77 deg 0' 41.04"" W",38.8911,-77.0114,13.38,2021,1,6,18
"meta-vW44EZaqnoZc.json",NA,"2021:01:06 19:05:45","0:00:59","38 deg 53' 27.60"" N","77 deg 0' 45.36"" W",38.891,-77.0126,59,2021,1,6,19
"meta-vwn5xmDvxfqV.json",NA,"2021:01:06 20:50:07","27.19 s","38 deg 53' 22.92"" N","77 deg 0' 36.72"" W",38.8897,-77.0102,27.19,2021,1,6,20
"meta-VXQewijq1iuR.json",NA,"2021:01:06 20:13:58","0:03:26","38 deg 53' 24.00"" N","77 deg 0' 35.28"" W",38.89,-77.0098,206,2021,1,6,20
"meta-VYDYrP2y5GPi.json",NA,"2021:01:06 11:50:53","17.88 s","38 deg 53' 18.60"" N","77 deg 2' 0.60"" W",38.8885,-77.0335,17.88,2021,1,6,11
"meta-VyvDWQpLrOrP.json",NA,"2021:01:06 18:43:24","0:00:45","38 deg 53' 21.84"" N","77 deg 0' 53.64"" W",38.8894,-77.0149,45,2021,1,6,18
"meta-VYWo9y4A00do.json",NA,"2021:01:06 16:07:39","0:00:47","38 deg 53' 21.84"" N","77 deg 1' 26.40"" W",38.8894,-77.024,47,2021,1,6,16
"meta-w0LzlCqerE1N.json",NA,"2021:01:06 21:11:41","24.13 s","38 deg 53' 23.64"" N","77 deg 0' 36.00"" W",38.8899,-77.01,24.13,2021,1,6,21
"meta-W1nA3OgbJg4W.json",NA,"2021:01:06 16:57:44","0:00:51","38 deg 53' 29.04"" N","77 deg 2' 10.32"" W",38.8914,-77.0362,51,2021,1,6,16
"meta-W4R2iPjTAhSs.json",NA,"2021:01:06 16:37:30","20.43 s","38 deg 53' 31.56"" N","77 deg 2' 10.68"" W",38.8921,-77.0363,20.43,2021,1,6,16
"meta-W56O8L5R8kju.json",NA,"2021:01:06 19:57:52","9.81 s","38 deg 53' 25.44"" N","77 deg 0' 37.08"" W",38.8904,-77.0103,9.81,2021,1,6,19
"meta-W5FQ4Fqy2rY6.json",NA,"2021:01:06 18:44:20","0:00:43","38 deg 53' 26.52"" N","77 deg 0' 43.56"" W",38.8907,-77.0121,43,2021,1,6,18
"meta-W6XYUCz6qu6J.json",NA,"2021:01:06 17:59:51","14.33 s","38 deg 53' 30.84"" N","77 deg 2' 10.68"" W",38.8919,-77.0363,14.33,2021,1,6,17
"meta-W7VwKbtpEtm0.json",NA,"2021:01:06 19:48:35","13.14 s","38 deg 53' 27.96"" N","77 deg 0' 33.48"" W",38.8911,-77.0093,13.14,2021,1,6,19
"meta-W8ltLizECrMG.json",NA,"2021:01:06 20:02:50","9.83 s","38 deg 53' 23.28"" N","77 deg 0' 32.76"" W",38.8898,-77.0091,9.83,2021,1,6,20
"meta-W9d9UvLeBYFu.json",NA,"2021:01:06 21:33:04","26.93 s","38 deg 53' 24.36"" N","77 deg 0' 36.00"" W",38.8901,-77.01,26.93,2021,1,6,21
"meta-wA0ahVX5oGl8.json",NA,"2021:01:06 20:59:03","26.49 s","38 deg 53' 23.28"" N","77 deg 0' 37.80"" W",38.8898,-77.0105,26.49,2021,1,6,20
"meta-WaNexB6Lznsq.json",NA,"2021:01:06 18:48:59","0:00:48","38 deg 53' 22.20"" N","77 deg 0' 38.88"" W",38.8895,-77.0108,48,2021,1,6,18
"meta-wCbOT5Lhqo7n.json",NA,"2021:01:06 18:19:23","0:00:57","38 deg 53' 24.00"" N","77 deg 0' 37.08"" W",38.89,-77.0103,57,2021,1,6,18
"meta-WCqX2Ulwi4ey.json",NA,"2021:01:06 18:16:37","21.03 s","38 deg 53' 31.92"" N","77 deg 2' 16.44"" W",38.8922,-77.0379,21.03,2021,1,6,18
"meta-WD1im1v0jLMX.json",NA,"2021:01:06 18:45:00","15.77 s","38 deg 53' 24.36"" N","77 deg 0' 37.44"" W",38.8901,-77.0104,15.77,2021,1,6,18
"meta-WDIGXfQaTUL6.json",NA,"2021:01:06 20:10:22","25.39 s","38 deg 53' 23.64"" N","77 deg 0' 37.08"" W",38.8899,-77.0103,25.39,2021,1,6,20
"meta-weArmA6HzH6s.json",NA,"2021:01:06 19:26:27","22.75 s","38 deg 53' 24.72"" N","77 deg 0' 36.36"" W",38.8902,-77.0101,22.75,2021,1,6,19
"meta-WG1JCxpY4b1e.json",NA,"2021:01:06 20:51:41","20.32 s","38 deg 53' 23.64"" N","77 deg 0' 37.80"" W",38.8899,-77.0105,20.32,2021,1,6,20
"meta-wItTIbLfoXBY.json",NA,"2021:01:06 16:14:33","0:00:33","38 deg 53' 36.96"" N","77 deg 2' 11.76"" W",38.8936,-77.0366,33,2021,1,6,16
"meta-WiVJ66gzg3pw.json",NA,"2021:01:06 20:10:36","10.93 s","38 deg 53' 13.56"" N","77 deg 0' 32.40"" W",38.8871,-77.009,10.93,2021,1,6,20
"meta-Wj6TRv31EgKB.json",NA,"2021:01:06 02:42:23","0:00:32","38 deg 53' 20.04"" N","77 deg 0' 46.08"" W",38.8889,-77.0128,32,2021,1,6,2
"meta-Wm6o3hXiTzPa.json",NA,"2021:01:06 18:31:24","0:00:42","38 deg 53' 31.92"" N","77 deg 1' 48.72"" W",38.8922,-77.0302,42,2021,1,6,18
"meta-wNfQTWy7Ag2U.json",NA,"2021:01:06 22:25:27","0:00:41","38 deg 53' 24.72"" N","77 deg 2' 8.16"" W",38.8902,-77.0356,41,2021,1,6,22
"meta-WOR0K16Wbi2I.json",NA,"2021:01:06 21:14:56","25.72 s","38 deg 53' 23.64"" N","77 deg 0' 29.16"" W",38.8899,-77.0081,25.72,2021,1,6,21
"meta-WpZ4uLnC1d4H.json",NA,"2021:01:06 16:49:33","21.43 s","38 deg 52' 53.04"" N","77 deg 4' 6.24"" W",38.8814,-77.0684,21.43,2021,1,6,16
"meta-wQZ0XA36Xpih.json",NA,"2021:01:06 17:00:17","13.15 s","38 deg 53' 29.76"" N","77 deg 2' 9.24"" W",38.8916,-77.0359,13.15,2021,1,6,17
"meta-wsRe9EYoao7V.json",NA,"2021:01:06 19:38:37","28.06 s","38 deg 53' 23.64"" N","77 deg 0' 30.24"" W",38.8899,-77.0084,28.06,2021,1,6,19
